,InteractionIdId,name_used,summary,url,toc
thunder god vine,230,Tripterygium wilfordii,"Tripterygium wilfordii, or léi gōng téng (Mandarin) (Chinese:雷公藤, Japanese: raikōtō), sometimes called thunder god vine but more properly translated thunder duke vine, is a vine used in traditional Chinese medicine.
Tripterygium wilfordii has been promoted for use in rheumatoid arthritis and psoriasis; however, due to safety concerns this use is not recommended. Evidence is insufficient to deem it effective as a method of birth control.

",https://en.wikipedia.org/wiki/Tripterygium_wilfordii,"[('Health effects', 'Birth control'), ('Health effects', 'Rheumatoid arthritis'), ('Side effects',), ('Pharmacology',), ('Footnotes',), ('References',)]"
thyroid hormone,21,Thyroid hormones,"Thyroid hormones are two hormones produced and released by the thyroid gland, namely triiodothyronine (T3) and thyroxine (T4).
They are tyrosine-based hormones that are primarily responsible for regulation of metabolism.
A deficiency of iodine leads to decreased production of T3 and T4, enlarges the thyroid tissue and will cause the disease known as simple goitre.
The major form of thyroid hormone in the blood is thyroxine (T4), which has a longer half-life than T3.
In humans, the ratio of T4 to T3 released into the blood is approximately 14:1.
All three isoforms of the deiodinases are selenium-containing enzymes, thus dietary selenium is essential for T3 production.
Edward Calvin Kendall was responsible for the isolation of thyroxine in 1915.
In 2016 levothyroxine, a manufactured form of thyroxine, was the most prescribed medication in the United States with more than 114 million prescriptions.",https://en.wikipedia.org/wiki/Thyroid_hormones,"[('Function',), ('Medical use', 'Formulations'), ('Production', 'Central'), ('Production', 'Peripheral'), ('Production', 'Initiation of production in fetuses'), ('Production', 'Iodine deficiency'), ('Circulation and transport', 'Plasma transport'), ('Circulation and transport', 'Membrane transport'), ('Circulation and transport', 'Intracellular transport'), ('Mechanism of action', 'Thyroxine, iodine and apoptosis'), ('Mechanism of action', 'Effects of triiodothyronine'), ('Measurement',), ('Related diseases',), ('Anti-thyroid drugs',), ('See also',), ('References',), ('External links',)]"
tiagabine,84,Tiagabine,Tiagabine (trade name Gabitril) is an anticonvulsant medication produced by Cephalon that is used in the treatment of epilepsy. The drug is also used off-label in the treatment of anxiety disorders and panic disorder.,https://en.wikipedia.org/wiki/Tiagabine,"[('Medical uses',), ('Side effects',), ('Overdose',), ('Pharmacology',), ('History',), ('See also',), ('References',), ('External links',)]"
tiagabine (gabitril),319,Tiagabine,Tiagabine (trade name Gabitril) is an anticonvulsant medication produced by Cephalon that is used in the treatment of epilepsy. The drug is also used off-label in the treatment of anxiety disorders and panic disorder.,https://en.wikipedia.org/wiki/Tiagabine,"[('Medical uses',), ('Side effects',), ('Overdose',), ('Pharmacology',), ('History',), ('See also',), ('References',), ('External links',)]"
ticagrelor (brilinta),206,Ticagrelor,"Ticagrelor (trade name Brilinta, Brilique, and Possia) is a platelet aggregation inhibitor produced by AstraZeneca.
Ticagrelor is an antagonist of the P2Y12 receptor.The drug was approved for use in the European Union by the European Medicines Agency on December 3, 2010. The drug was approved by the US Food and Drug Administration on July 20, 2011.",https://en.wikipedia.org/wiki/Ticagrelor,"[('Medical uses',), ('Contraindications',), ('Adverse effects',), ('Interactions',), ('Chemistry',), ('Pharmacokinetics',), ('Mechanism of action', 'Comparison with clopidogrel')]"
ticlopidine (ticlid),85,Ticlopidine,"Ticlopidine (trade name Ticlid) is an antiplatelet drug in the thienopyridine family which is an adenosine diphosphate (ADP) receptor inhibitor. Research initially showed that it was useful for preventing strokes and coronary stent occlusions. However, because of its rare but serious side effects of neutropenia and thrombotic thrombocytopenic purpura it was primarily used in patients in whom aspirin was not tolerated, or in whom dual antiplatelet therapy was desirable. With the advent of newer and safer antiplatelet drugs such as clopidogrel and ticagrelor, its use remained limited.
It was patented in 1973 and approved for medical use in 1978.",https://en.wikipedia.org/wiki/Ticlopidine,"[('Medical uses', 'Stroke'), ('Medical uses', 'Heart disease'), ('Contraindications',), ('Adverse effects', 'Hematological'), ('Adverse effects', 'Pregnancy and lactation'), ('Interactions',), ('Mechanism of action',), ('Pharmacokinetics',), ('Chemical properties',), ('History',), ('Research',)]"
tiratricol,310,Tiratricol,"Tiratricol (also known as TRIAC or triiodothyroacetic acid) is a thyroid hormone analogue. Triiodothyroacetic acid is also a physiologic thyroid hormone that is present in the normal organism in low concentrations.

",https://en.wikipedia.org/wiki/Tiratricol,"[('Uses',), ('Legal status',)]"
tolbutamide,242,Tolbutamide,"Tolbutamide is a first-generation potassium channel blocker, sulfonylurea oral hypoglycemic medication. This drug may be used in the management of type 2 diabetes if diet alone is not effective. Tolbutamide stimulates the secretion of insulin by the pancreas.
It is not routinely used due to a higher incidence of adverse effects compared to newer, second-generation sulfonylureas, such as Glibenclamide. It generally has a short duration of action due to its rapid metabolism, so is safe for use in older people.
It was discovered in 1956.",https://en.wikipedia.org/wiki/Tolbutamide,"[('Side effects',), ('History',), ('Historical consequences',), ('See also',)]"
tolvaptan (samsca),226,Tolvaptan,"Tolvaptan (trade names Samsca, Jinarc, and others) is an aquaretic drug that functions as a selective, competitive vasopressin receptor 2 (V2) antagonist used to treat hyponatremia (low blood sodium levels) associated with congestive heart failure, cirrhosis, and the syndrome of inappropriate antidiuretic hormone (SIADH). Tolvaptan was approved by the U.S. Food and Drug Administration (FDA) on May 19, 2009, and is sold by Otsuka Pharmaceutical Co. under the trade name Samsca.
The FDA granted tolvaptan a fast-track designation for clinical trials investigating its use for the treatment of polycystic kidney disease.",https://en.wikipedia.org/wiki/Tolvaptan,"[('Side effects',), ('Pharmacology',), ('Chemistry',), ('References',), ('External links',)]"
tonic water,231,Tonic water,"Tonic water (or Indian tonic water) is a carbonated soft drink in which quinine is dissolved. Originally used as a prophylactic against malaria, tonic water usually now has a significantly lower quinine content and is consumed for its distinctive bitter flavor, though it is nowadays also often sweetened. It is often used in mixed drinks, particularly in gin and tonic.",https://en.wikipedia.org/wiki/Tonic_water,"[('History',), ('Quinine content',), ('Use',), ('Fluorescence',), ('See also',)]"
tramadol (ultram),258,Tramadol,"Tramadol, sold under the brand name Ultram among others, is an opioid pain medication used to treat moderate to moderately severe pain.
It may be sold in combination with paracetamol (acetaminophen) or as longer-acting formulations.Common side effects include constipation, itchiness, and nausea.
Serious side effects may include seizures, increased risk of serotonin syndrome, decreased alertness, and drug addiction.
It is not recommended in those who are at risk of suicide or in those who are pregnant.
While not recommended in women who are breastfeeding, those who take a single dose should not generally stop breastfeeding.Tramadol acts by binding to μ-opioid receptors on neurons.
It is available as a generic medication and marketed under many brand names worldwide.
In the United States, the wholesale cost is less than US$0.05 per dose as of 2018.
In 2016, it was the 39th most prescribed medication in the United States, with more than 19 million prescriptions.",https://en.wikipedia.org/wiki/Tramadol,"[('Medical uses', 'Fibromyalgia'), ('Contraindications', 'Pregnancy and lactation'), ('Contraindications', 'Labour and delivery'), ('Contraindications', 'Children'), ('Contraindications', 'Elderly'), ('Contraindications', 'Liver and kidney failure'), ('Side effects', 'Dependence and withdrawal'), ('Overdose',), ('Interactions',), ('Pharmacology', 'Pharmacodynamics'), ('Pharmacology', 'Mechanism of action', 'Correspondence to effects'), ('Pharmacology', 'Pharmacokinetics'), ('Chemistry', 'Synthesis and stereoisomerism'), ('Chemistry', 'Detection in biological fluids'), ('Society and culture', 'Patent history'), ('Society and culture', 'Legal status'), ('Society and culture', 'Misuse'), ('Research', 'Investigational uses'), ('Research', 'False findings about sources in nature'), ('Veterinary medicine',), ('References',), ('External links',)]"
triazolam (halcion),155,Triazolam,"Triazolam (original brand name Halcion) is a central nervous system (CNS) depressant tranquilizer in the triazolobenzodiazepine class. It possesses pharmacological properties similar to those of other benzodiazepines, but it is generally only used as a sedative to treat severe insomnia. In addition to the hypnotic properties, triazolam's amnesic, anxiolytic, sedative, anticonvulsant, and muscle relaxant properties are pronounced, as well. Due to its short half-life, triazolam is not effective for patients who experience frequent awakenings or early wakening.Triazolam was initially patented in 1970 and went on sale in the United States in 1982.",https://en.wikipedia.org/wiki/Triazolam,"[('Medical uses',), ('Side effects', 'Tolerance, dependence, and withdrawal'), ('Side effects', 'Contraindications'), ('Side effects', 'Elderly'), ('Interactions',), ('Overdose',), ('Pharmacology',), ('History',), ('Society and culture', 'In literature and music'), ('Society and culture', 'Recreational use'), ('Society and culture', 'Legal status'), ('Society and culture', 'Brandnames'), ('References',), ('External links',)]"
tryptophan,282,Tryptophan,"Tryptophan (symbol Trp or W) is an α-amino acid that is used in the biosynthesis of proteins. Tryptophan contains an α-amino group,  an α-carboxylic acid group,  and a side chain indole, making it a non-polar aromatic amino acid. It is essential in humans, meaning the body cannot synthesize it; it must be obtained from the diet. Tryptophan is also a precursor to the neurotransmitter serotonin, the hormone melatonin and vitamin B3. It is encoded by the codon UGG.
Like other amino acids, tryptophan is a zwitterion at physiological pH where the amino group is protonated (–NH3+; pKa = 9.39) and the carboxylic acid is deprotonated ( –COO−; pKa = 2.38).",https://en.wikipedia.org/wiki/Tryptophan,"[('Function',), ('Recommended dietary allowance', 'Dietary sources'), ('Use as a dietary supplement',), ('Side effects',), ('Interactions',), ('Isolation',), ('Biosynthesis and industrial production',), ('Society and culture', 'Eosinophilia–myalgia syndrome'), ('Society and culture', 'Turkey meat and drowsiness'), ('Research', 'Fluorescence'), ('See also',), ('References',), ('Further reading',)]"
tuberculosis vaccine,156,Tuberculosis vaccines,"Tuberculosis (TB) vaccines are vaccinations intended for the prevention of tuberculosis.   Immunotherapy as a defence against TB was first proposed in 1890 by Robert Koch. Today, the only effective tuberculosis vaccine in common use is bacilli Calmette-Guérin (BCG), first used in 1921. About three out of every 10,000 people who get the vaccine experience side effects, which are usually minor except in severely immuno-depressed individuals. While BCG immunization provides fairly effective protection for infants and young children, (including defence against TB meningitis and miliary TB), its efficacy in adults is variable, ranging from 0% to 80%. Several variables have been considered as responsible for the varying outcomes.  Demand for TB immunotherapy advancement exists because the disease has become increasingly drug-resistant.Other tuberculosis vaccines are at various stages of development, including:

MVA85A
rBCG30
72F fusion proteinNew vaccines are being developed by the Tuberculosis Vaccine Initiative, including TBVI and Aeras.",https://en.wikipedia.org/wiki/Tuberculosis_vaccines,"[('Vaccine development', 'Divisions'), ('Vaccine development', 'Sub-unit vaccines'), ('Vaccine development', 'Delivery alternatives'), ('Vaccine development', 'Obstacles in development'), ('Vaccine development', 'Development of a Tuberculosis Vaccine that does not contain live bacteria')]"
valproate,73,Valproate,"Valproate (VPA), and its valproic acid, sodium valproate, and valproate semisodium forms, are medications primarily used to treat epilepsy and bipolar disorder and to prevent migraine headaches.
Long and short acting formulations of tablets exist.Common side effects include nausea, vomiting, sleepiness, and dry mouth.
Serious side effects can include liver problems and regular monitoring of liver function tests is therefore recommended.
Valproic acid is a branched short-chain fatty acid (SCFA) made from valeric acid.Valproate was first made in 1881 and came into medical use in 1962.
Valproate is included in the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
The wholesale cost in the developing world is about US$0.40 per day as of 2015.
In the United States, the wholesale cost is roughly US$1.30 per day as of 2019.
In 2016 it was the 129th most prescribed medication in the United States with more than 5 million prescriptions.",https://en.wikipedia.org/wiki/Valproate,"[('Terminology',), ('Medical uses', 'Epilepsy'), ('Medical uses', 'Mental illness', 'Bipolar disorder'), ('Medical uses', 'Mental illness', 'Schizophrenia'), ('Medical uses', 'Mental illness', 'Dopamine dysregulation syndrome'), ('Medical uses', 'Migraines'), ('Medical uses', 'Other'), ('Adverse effects', 'Pregnancy'), ('Adverse effects', 'Elderly'), ('Adverse effects', 'Contraindications'), ('Adverse effects', 'Interactions'), ('Adverse effects', 'Overdose and toxicity'), ('Pharmacology', 'Pharmacodynamics', 'Endocrine actions'), ('Pharmacology', 'Pharmacodynamics', 'Metabolism'), ('Chemistry',), ('History',), ('Society and culture', 'Cost'), ('Society and culture', 'Approval status'), ('Society and culture', 'Off-label uses'), ('Society and culture', 'Formulations', 'Brand names of valproic acid'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Portugal'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'United States'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Australia'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'New Zealand'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'UK', 'UK only'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Germany, Switzerland, Norway, Finland, Sweden'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'South Africa'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Malaysia'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Romania'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Canada'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Japan'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Europe'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Taiwan'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Iran'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'Israel'), ('Society and culture', 'Formulations', 'Brand names of sodium valproate', 'India, Russia and CIS countries'), ('Society and culture', 'Formulations', 'Brand names of valproate semisodium'), ('References',), ('External links',)]"
vegetarian diet,160,Vegetarianism,"Vegetarianism is the practice of abstaining from the consumption of meat (red meat, poultry, seafood, and the flesh of any other animal), and may also include abstention from by-products of animals processed for food.Vegetarianism may be adopted for various reasons.
Psychologically, preference for vegetarian foods can be impacted by one's own socio-economic status and evolutionary factors.Packaged and processed foods, such as cakes, cookies, candies, chocolate, yogurt, and marshmallows, often contain unfamiliar animal ingredients, and so may be a special concern for vegetarians due to the likelihood of such additives.
Some vegetarians scrutinize product labels for animal-derived ingredients while others do not object to consuming cheese made with animal-derived rennet.
Some vegetarians are unaware of animal-derived rennet being used in the production of cheese.Semi-vegetarian diets consist largely of vegetarian foods but may include fish or poultry, or sometimes other meats, on an infrequent basis.
Those with diets containing fish or poultry may define meat only as mammalian flesh and may identify with vegetarianism.",https://en.wikipedia.org/wiki/Vegetarianism,"[('Etymology',), ('History',), ('Varieties',), ('Health effects', 'Arthritis'), ('Health effects', 'Bone health'), ('Health effects', 'Diabetes'), ('Health effects', 'Eating disorders'), ('Health effects', 'Heart health'), ('Health effects', 'Longevity'), ('Health effects', 'Vitamin B12 deficiency'), ('Diet composition and nutrition', 'Protein'), ('Diet composition and nutrition', 'Iron'), ('Diet composition and nutrition', 'Vitamin B12'), ('Diet composition and nutrition', 'Fatty acids'), ('Diet composition and nutrition', 'Calcium'), ('Diet composition and nutrition', 'Vitamin D', 'Vitamin D2'), ('Ethics and diet', 'General'), ('Ethics and diet', 'Ethics of killing for food'), ('Ethics and diet', 'Dairy and eggs'), ('Ethics and diet', 'Treatment of animals'), ('Religion and diet', ""Bahá'í faith""), ('Religion and diet', 'Buddhism'), ('Religion and diet', 'Christianity', 'Seventh-day Adventist'), ('Religion and diet', 'Hinduism'), ('Religion and diet', 'Islam'), ('Religion and diet', 'Jainism'), ('Religion and diet', 'Judaism'), ('Religion and diet', 'Rastafari'), ('Religion and diet', 'Sikhism'), ('Environment and diet',), ('Labor conditions and diet',), ('Economics and diet',), ('Demographics', 'Gender'), ('Demographics', 'Country-specific information'), ('See also',), ('References',), ('Further reading',), ('External links',)]"
"verapamil (calan, covera, isoptin, verelan)",74,Verapamil,"Verapamil, sold under various trade names, is a medication used for the treatment of high blood pressure, angina (chest pain from not enough blood flow to the heart), and supraventricular tachycardia.
It is given by mouth or by injection into a vein.Common side effects include headache, low blood pressure, nausea, and constipation.
Other side effects include allergic reactions and muscle pains.
It is in the non–dihydropyridine calcium channel blocker family of medications.Verapamil was approved for medical use in the United States in 1981.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
Verapamil is available as a generic medication.
The wholesale cost in the developing world is about US$1.71–2.70 per month.
In the United States a month of treatment costs $25–50.
In 2016 it was the 130th most prescribed medication in the United States with more than 5 million prescriptions.",https://en.wikipedia.org/wiki/Verapamil,"[('Medical uses',), ('Contraindications',), ('Side effects', 'Overdose'), ('Mechanism of action',), ('Pharmacokinetic details',), ('Veterinary use',), ('Uses in cell biology',), ('See also',), ('References',), ('External links',)]"
"verapamil (calan, others)",317,Verapamil,"Verapamil, sold under various trade names, is a medication used for the treatment of high blood pressure, angina (chest pain from not enough blood flow to the heart), and supraventricular tachycardia.
It is given by mouth or by injection into a vein.Common side effects include headache, low blood pressure, nausea, and constipation.
Other side effects include allergic reactions and muscle pains.
It is in the non–dihydropyridine calcium channel blocker family of medications.Verapamil was approved for medical use in the United States in 1981.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
Verapamil is available as a generic medication.
The wholesale cost in the developing world is about US$1.71–2.70 per month.
In the United States a month of treatment costs $25–50.
In 2016 it was the 130th most prescribed medication in the United States with more than 5 million prescriptions.",https://en.wikipedia.org/wiki/Verapamil,"[('Medical uses',), ('Contraindications',), ('Side effects', 'Overdose'), ('Mechanism of action',), ('Pharmacokinetic details',), ('Veterinary use',), ('Uses in cell biology',), ('See also',), ('References',), ('External links',)]"
vitamin a,285,Vitamin A,"Vitamin A is a group of unsaturated nutritional organic compounds that includes retinol, retinal, retinoic acid, and several provitamin A carotenoids (most notably beta-carotene).
Vitamin A also functions in a very different role as retinoic acid (an irreversibly oxidized form of retinol), which is an important hormone-like growth factor for epithelial and other cells.
Yet the major form of vitamin A is an ester, primarily retinyl palmitate, which is converted to retinol (chemically an alcohol) in the small intestine.
The retinol form functions as a storage form of the vitamin, and can be converted to and from its visually active aldehyde form, retinal.
All forms of vitamin A have a beta-ionone ring to which an isoprenoid chain is attached, called a retinyl group.
Alpha-carotene and gamma-carotene also have a single retinyl group, which give them some vitamin activity.
The carotenoid beta-cryptoxanthin possesses an ionone group and has vitamin activity in humans.",https://en.wikipedia.org/wiki/Vitamin_A,"[('Medical use', 'Deficiency'), ('Medical use', 'Vitamin A supplementation'), ('Side effects',), ('Equivalencies of retinoids and carotenoids (IU)',), ('Dietary recommendations',), ('Sources',), ('Metabolic functions', 'Vision'), ('Metabolic functions', 'Gene transcription'), ('Metabolic functions', 'Immune function'), ('Metabolic functions', 'Dermatology'), ('Metabolic functions', 'Retinal/retinol versus retinoic acid'), ('Vitamin A and derivatives in medical use',), ('History',), ('References',), ('Further reading',), ('External links',)]"
vitamin b12,245,Vitamin B12,"Because there are few common vegetable sources of the vitamin, vegans must use a supplement or fortified foods for B12 intake or risk serious health consequences.
Staple foods, especially those that form part of a vegan diet, are often fortified by having the vitamin added to them.
Vitamin B12 supplements are available in single agent or multivitamin tablets; and pharmaceutical preparations may be given by intramuscular injection.The most common cause of vitamin B12 deficiency in developed countries is impaired absorption due to a loss of gastric intrinsic factor, which must be bound to food-source B12 in order for absorption to occur.
Dietary deficiency is very rare in developed countries due to access to dietary meat and fortified foods, but children in some regions of developing countries are at particular risk due to increased requirements during growth coupled with lack of access to dietary B12; adults in these regions are also at risk.",https://en.wikipedia.org/wiki/Vitamin_B12,"[('Deficiency',), ('Medical uses', 'Repletion of deficiency'), ('Medical uses', 'Cyanide poisoning'), ('Dietary recommendations',), ('Sources', 'Bacteria and archaea'), ('Sources', 'Animals'), ('Sources', 'Plants and algae'), ('Sources', 'Fortified foods'), ('Sources', 'Supplements'), ('Sources', 'Parenteral administration'), ('Sources', 'Pseudovitamin-B12'), ('Drug interactions', 'H2-receptor antagonists and proton-pump inhibitors'), ('Drug interactions', 'Metformin'), ('Chemistry', 'Vitamers'), ('Biochemistry', 'Coenzyme function'), ('Biochemistry', 'Enzyme function'), ('Physiology', 'Absorption'), ('Physiology', 'Storage and excretion'), ('Production', 'Industrial'), ('Production', 'Laboratory'), ('History',), ('References',), ('External links',)]"
vitamin b5 (pantothenic acid),45,B vitamins,"B vitamins are a class of water-soluble vitamins that play important roles in cell metabolism. Though these vitamins share similar names, they are chemically distinct compounds that often coexist in the same foods. In general, dietary supplements containing all eight are referred to as a vitamin B complex. Individual B vitamin supplements are referred to by the specific number or name of each vitamin: B1 = thiamine, B2 = riboflavin, B3 = niacin, etc. Some are better known by name than number: niacin, pantothenic acid, biotin and folate.
Each B vitamin is either a cofactor (generally a coenzyme) for key metabolic processes or is a precursor needed to make one.",https://en.wikipedia.org/wiki/B_vitamins,"[('List of B vitamins',), ('Molecular functions',), ('Deficiencies',), ('Side effects',), ('Sources',), ('Discovery',), ('Related compounds',)]"
vitamin c,185,Vitamin C,"Vitamin C, also known as ascorbic acid and ascorbate, is a vitamin found in various foods and sold as a dietary supplement.
It also functions as an antioxidant.Current evidence does not support its use for the prevention of the common cold.
There is, however, some evidence that regular use may shorten the length of colds.
It may be taken by mouth or by injection.Vitamin C is generally well tolerated.
Normal doses are safe during pregnancy.
The United States Institute of Medicine recommends against taking large doses.Vitamin C was discovered in 1912, isolated in 1928, and in 1933 was the first vitamin to be chemically produced.
Vitamin C is available as an inexpensive generic and over-the-counter medication.
Foods containing vitamin C include citrus fruits, kiwifruit, broccoli, Brussels sprouts, raw bell peppers, and strawberries.
Prolonged storage or cooking may reduce vitamin C content in foods.",https://en.wikipedia.org/wiki/Vitamin_C,"[('Biology', 'Significance'), ('Biology', 'Deficiency'), ('Uses', 'Scurvy'), ('Uses', 'Infection'), ('Uses', 'Cancer'), ('Uses', 'Cardiovascular disease'), ('Uses', 'Brain function'), ('Uses', 'Other diseases'), ('Side effects',), ('Diet', 'Recommended levels'), ('Diet', 'Food labeling'), ('Diet', 'Sources', 'Plant sources'), ('Diet', 'Sources', 'Animal sources'), ('Diet', 'Food preparation'), ('Diet', 'Supplements'), ('Diet', 'Food fortification'), ('Diet', 'Food additives'), ('Pharmacology', 'Pharmacodynamics'), ('Pharmacology', 'Pharmacokinetics', 'Absorption'), ('Pharmacology', 'Pharmacokinetics', 'Transport'), ('Pharmacology', 'Pharmacokinetics', 'Excretion'), ('Chemistry',), ('Testing for levels',), ('Biosynthesis', 'Animal pathway'), ('Biosynthesis', 'Plant pathways'), ('Biosynthesis', 'Evolution'), ('Industrial production',), ('History', 'Folk medicine'), ('History', 'Scurvy at sea'), ('History', 'Discovery'), ('History', 'Large doses'), ('Society and culture',), ('Pharmacopoeias',), ('Notes',), ('References',), ('External links',)]"
vitamin d,331,Vitamin D,"Vitamin D is a group of fat-soluble secosteroids responsible for increasing intestinal absorption of calcium, magnesium, and phosphate, and multiple other biological effects.
Dietary recommendations typically assume that all of a person's vitamin D is taken by mouth, as sun exposure in the population is variable and recommendations about the amount of sun exposure that is safe are uncertain in view of the skin cancer risk.Vitamin D from the diet, or from skin synthesis, is biologically inactive.
Instead it could be considered a hormone, with activation of the vitamin D pro-hormone resulting in the active form, calcitriol, which then produces effects via a nuclear receptor in multiple locations.Cholecalciferol is converted in the liver to calcifediol (25-hydroxycholecalciferol); ergocalciferol is converted to 25-hydroxyergocalciferol.
Calcifediol is further hydroxylated by the kidneys to form calcitriol (also known as 1,25-dihydroxycholecalciferol), the biologically active form of vitamin D.
Calcitriol also has other effects, including some on cell growth, neuromuscular and immune functions, and reduction of inflammation.Vitamin D has a significant role in calcium homeostasis and metabolism.",https://en.wikipedia.org/wiki/Vitamin_D,"[('Types',), ('Biology',), ('Deficiency', 'Bone health', 'Rickets'), ('Deficiency', 'Bone health', 'Osteoporosis and osteomalacia'), ('Deficiency', 'Skin pigmentation'), ('Deficiency', 'Non-bone diseases'), ('Deficiency', 'Mortality, all causes'), ('Use of supplements', 'Mortality, all-causes'), ('Use of supplements', 'Bone health'), ('Use of supplements', 'Cancer'), ('Use of supplements', 'Cardiovascular disease'), ('Use of supplements', 'Immune system', 'Infectious diseases'), ('Use of supplements', 'Immune system', 'Autoimmune diseases'), ('Use of supplements', 'Immune system', 'Inflammatory bowel disease'), ('Use of supplements', 'Other conditions'), ('Use of supplements', 'Allowable health claims'), ('Dietary intake', 'Recommended levels', 'United States'), ('Dietary intake', 'Recommended levels', 'Canada'), ('Dietary intake', 'Recommended levels', 'Australia and New Zealand'), ('Dietary intake', 'Recommended levels', 'European Union'), ('Dietary intake', 'Sources', 'Natural sources'), ('Dietary intake', 'Sources', 'Food fortification'), ('Dietary intake', 'Food preparation'), ('Recommended serum levels',), ('Excess', 'Effect of excess'), ('Biosynthesis', 'Interactive pathway'), ('Biosynthesis', 'Photochemistry'), ('Biosynthesis', 'Synthesis in the skin'), ('Biosynthesis', 'Evolution'), ('Biosynthesis', 'Industrial synthesis'), ('Mechanism of action', 'Metabolic activation'), ('Mechanism of action', 'Inactivation'), ('Mechanism of action', 'Difference between substrates'), ('History',), ('Research',), ('References',), ('Further reading',), ('External links',)]"
vitamin e,13,Vitamin E,"As of 2016, consumption was below recommendations according to a worldwide summary of more than one hundred studies that reported a median dietary intake of 6.2 mg per day for alpha-tocopherol.
Research with alpha-tocopherol as a dietary supplement, with daily amounts as high as 2000 mg per day, has had mixed results.
Both natural and synthetic tocopherols are subject to oxidation, and so in dietary supplements are esterified, creating tocopheryl acetate for stability purposes.Both the tocopherols and tocotrienols occur in α (alpha), β (beta), γ (gamma) and δ (delta) forms, as determined by the number and position of methyl groups on the chromanol ring.
Alpha-tocopherol, either naturally extracted from plant oils or, most commonly, as the synthetic tocopheryl acetate, is sold as a popular dietary supplement, either by itself or incorporated into a multivitamin product, and in oils or lotions for use on skin.",https://en.wikipedia.org/wiki/Vitamin_E,"[('Functions', 'Deficiency'), ('Declining popularity',), ('Side effects', 'Drug interactions'), ('Diet', 'Recommendations'), ('Diet', 'Food labeling'), ('Diet', 'Sources'), ('Diet', 'Supplements'), ('Diet', 'Fortification'), ('Chemistry', 'Stereoisomers'), ('Chemistry', 'Tocopherols'), ('Chemistry', 'Tocotrienols'), ('Metabolism',), ('Testing for levels',), ('Synthesis', 'Biosynthesis'), ('Synthesis', 'Industrial synthesis'), ('History',), ('Research', 'All-cause mortality'), ('Research', 'Age-related macular degeneration'), ('Research', ""Alzheimer's disease""), ('Research', 'Cancer', 'Cancer health claims'), ('Research', 'Cataracts'), ('Research', 'Cardiovascular diseases', 'Cardiovascular health claims'), ('Research', 'Nonalcoholic fatty liver disease'), ('Research', ""Parkinson's disease""), ('Research', 'Pregnancy'), ('Research', 'Topical'), ('Research', 'Vaping-associated lung injury'), ('See also',), ('References',)]"
warfarin (coumadin),5,Warfarin,"Warfarin, sold under the brand name Coumadin among others, is a medication that is used as an anticoagulant (blood thinner).
It is generally taken by mouth but may also be used by injection into a vein.The common side effect is bleeding.
It is recommended that the effects of warfarin typically be monitored by checking prothrombin time (INR) every one to four weeks.
Many other medications and dietary factors can interact with warfarin, either increasing or decreasing its effectiveness.
The effects of warfarin may be reversed with phytomenadione (vitamin K1), fresh frozen plasma, or prothrombin complex concentrate.Warfarin decreases blood clotting by blocking an enzyme called vitamin K epoxide reductase that reactivates vitamin K1.
In 1954 it was approved for medical use in the United States.
Warfarin is available as a generic medication.
In the United States it usually costs less than $25 a month.
In 2016 it was the 41st most prescribed medication in the United States with more than 18 million prescriptions.",https://en.wikipedia.org/wiki/Warfarin,"[('Medical uses', 'Dosing', 'Maintenance dose'), ('Medical uses', 'Dosing', 'Self-testing'), ('Medical uses', 'Alternative anticoagulants'), ('Contraindications', 'Pregnancy', 'First trimester of pregnancy'), ('Contraindications', 'Pregnancy', 'Second trimester and later'), ('Adverse effects', 'Bleeding'), ('Adverse effects', 'Warfarin necrosis'), ('Adverse effects', 'Osteoporosis'), ('Adverse effects', 'Purple toe syndrome'), ('Adverse effects', 'Calcification'), ('Overdose',), ('Interactions',), ('Chemistry', 'Stereochemistry'), ('Pharmacology', 'Pharmacokinetics'), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacogenomics'), ('History',), ('Pest control', 'Rodents'), ('Pest control', 'Vampire bats'), ('Occupational safety',), ('Names',), ('References',), ('External links',)]"
