,ConditionId,name_used,summary,url,toc
sunstroke,726,SunStroke Project,"SunStroke Project is a Moldovan musical duo composed of Sergei Yalovitsky (vocals) and Sergey Stepanov (saxophonist).
The name of the group was chosen by Anton Ragoza whilst working in the army with Sergey Stepanov, where out on the field he had a stroke in the sun.In November 2010 the producer, Aleksei Myslitsky and some other members (including song authors) left SunStroke Project to create a new band in Moscow called Offbeat Orchestra who have performed and released versions of some of the songs by SunStroke Project.
On 25 February 2017, SunStroke Project was selected once more to represent Moldova in the Eurovision Song Contest 2017 with the song ""Hey, Mamma!"", and finished in third place after qualifying for the final on 9 May. In early 2019 the violinist and composer Anton Ragoza announced his departure from the band, which has continued as a duo.
Their first single as a duo Boomerang was released in April 2019.",https://en.wikipedia.org/wiki/SunStroke_Project,"[('Members',), ('Career', '2007–2008: ""Sunstroke"" era: Early pre-vocal releases'), ('Career', '2008–2009: Pasha Parfeny era'), ('Career', '2010: Eurovision, Myslitsky era'), ('Career', '2011–present: Touring and yearly singles'), ('Discography', 'Studio albums'), ('Discography', 'Extended plays'), ('Discography', 'Singles', 'As lead artist'), ('Discography', 'Singles', 'As featured artist'), ('Discography', 'Singles', 'Promotional singles'), ('Discography', 'Other covers'), ('Internet phenomena',), ('References',), ('External links',)]"
suppuration,764,Pus,"Pus is an exudate, typically white-yellow, yellow, or yellow-brown, formed at the site of inflammation during bacterial or fungal infection.
Pus consists of a thin, protein-rich fluid, historically known as liquor puris, and dead leukocytes from the body's immune response (mostly neutrophils).
During infection, macrophages  release cytokines  which trigger neutrophils to seek the site of infection by chemotaxis.
There, the neutrophils release granules which destroy the bacteria.
The bacteria resist the immune response by releasing toxins called leukocidins.
As the neutrophils die off from toxins and old age, they are destroyed by macrophages, forming the viscous pus.
Bacteria that cause pus are called pyogenic.Although pus is normally of a whitish-yellow hue, changes in the color can be observed under certain circumstances.
Pus from anaerobic infections can more often have a foul odor.In almost all cases when there is a collection of pus in the body, a clinician will try to create an opening to drain it.",https://en.wikipedia.org/wiki/Pus,"[('Pyogenic bacteria',), ('Historical terminology',), ('See also',), ('References',), ('External links',)]"
sweat,57,Sweetness,"Sweetness is a basic taste most commonly perceived when eating foods rich in sugars.
In addition to sugars like sucrose, many other chemical compounds are sweet, including aldehydes, ketones, and sugar alcohols.
Some are sweet at very low concentrations, allowing their use as non-caloric sugar substitutes.
The perceived intensity of sugars and high-potency sweeteners, such as aspartame and neohesperidin dihydrochalcone, are heritable, with gene effect accounting for approximately 30% of the variation.The chemosensory basis for detecting sweetness, which varies between both individuals and species, has only begun to be understood since the late 20th century.
Sweetness appears to have the highest taste recognition threshold, being detectable at around 1 part in 200 of sucrose in solution.
In the natural settings that human primate ancestors evolved in, sweetness intensity should indicate energy density, while bitterness tends to indicate toxicity.
The 'sweet tooth' thus has an ancient evolutionary heritage, and while food processing has changed consumption patterns, human physiology remains largely unchanged.",https://en.wikipedia.org/wiki/Sweetness,"[('Examples of sweet substances',), ('Sweetness modifiers',), ('The sweetness receptor',), ('Sweet receptor pathway',), ('Cognition',), ('Historical theories',), ('MPA theory',), ('References', 'Cited')]"
sweating,58,Perspiration,"Perspiration, also known as sweating, is the production of fluids secreted by the sweat glands in the skin of mammals.Two types of sweat glands can be found in humans: eccrine glands and apocrine glands.
The eccrine sweat glands are distributed over much of the body.
In humans, sweating is primarily a means of thermoregulation, which is achieved by the water-rich secretion of the eccrine glands.
Evaporation of sweat from the skin surface has a cooling effect due to evaporative cooling.
Hence, in hot weather, or when the individual's muscles heat up due to exertion, more sweat is produced.
Animals with few sweat glands, such as dogs, accomplish similar temperature regulation results by panting, which evaporates water from the moist lining of the oral cavity and pharynx.
Although sweating is found in a wide variety of mammals, relatively few (exceptions include humans and horses) produce large amounts of sweat in order to cool down.",https://en.wikipedia.org/wiki/Perspiration,"[('Definitions',), ('Signs and symptoms',), ('Causes', 'Pathological sweating'), ('Causes', 'Hyperhidrosis'), ('Causes', 'Night sweats'), ('Mechanism',), ('Composition',), ('Society and culture', 'Artificial perspiration'), ('Society and culture', 'Diagnostics'), ('See also',), ('References',), ('Further reading',), ('External links',)]"
syndrome,384,Syndrome,"A syndrome is a set of medical signs and symptoms and collection of diseases which are not correlated with each other and often associated with a particular disease or disorder.
In some instances, a syndrome is so closely linked with a pathogenesis or cause that the words syndrome, disease, and disorder end up being used interchangeably for them.
For example, Down syndrome, Wolf–Hirschhorn syndrome, and Andersen syndrome are disorders with known pathogeneses, so each is more than just a set of signs and symptoms, despite the syndrome nomenclature.
By definition, an association indicates that the collection of signs and symptoms occurs in combination more frequently than would be likely by chance alone.Syndromes are often named after the physician or group of physicians that discovered them or initially described the full clinical picture.
Such eponymous syndrome names are examples of medical eponyms.
Recently, there has been a shift towards naming conditions descriptively (by symptoms or underlying cause) rather than eponymously, but the eponymous syndrome names often persist in common usage.",https://en.wikipedia.org/wiki/Syndrome,"[('Usage', 'General medicine'), ('Usage', 'Psychiatry and psychopathology', 'History'), ('Usage', 'Medical genetics'), ('Usage', 'Other fields'), ('Naming',), ('History',), ('Underlying cause',), ('See also',), ('References',), ('External links',)]"
syphilis,615,Syphilis,"Syphilis is a sexually transmitted infection caused by the bacterium Treponema pallidum subspecies pallidum.
The signs and symptoms of syphilis vary depending in which of the four stages it presents (primary, secondary, latent, and tertiary).
The primary stage classically presents with a single chancre (a firm, painless, non-itchy skin ulceration usually between 1 cm and 2 cm in diameter) though there may be multiple sores.
Syphilis has been known as ""the great imitator"" as it may cause symptoms similar to many other diseases.Syphilis is most commonly spread through sexual activity.
Other diseases caused by the Treponema bacteria include yaws (subspecies pertenue), pinta (subspecies carateum), and nonvenereal endemic syphilis (subspecies endemicum).
These three diseases are not typically sexually transmitted.
The Centers for Disease Control and Prevention (U.S.) recommend all pregnant women be tested.The risk of sexual transmission of syphilis can be reduced by using a latex or polyurethane condom.",https://en.wikipedia.org/wiki/Syphilis,"[('Signs and symptoms', 'Primary'), ('Signs and symptoms', 'Secondary'), ('Signs and symptoms', 'Latent'), ('Signs and symptoms', 'Tertiary'), ('Signs and symptoms', 'Congenital'), ('Cause', 'Bacteriology'), ('Cause', 'Transmission'), ('Diagnosis', 'Blood tests'), ('Diagnosis', 'Direct testing'), ('Prevention', 'Vaccine'), ('Prevention', 'Sex'), ('Prevention', 'Congenital disease'), ('Prevention', 'Screening'), ('Treatment', 'Early infections'), ('Treatment', 'Late infections'), ('Treatment', 'Jarisch-Herxheimer reaction'), ('Treatment', 'Pregnancy'), ('Epidemiology',), ('History', 'Arts and literature'), ('History', 'Tuskegee and Guatemala studies'), ('History', 'Names'), ('References',), ('External links',)]"
systemic arterial pressure,407,Blood pressure,"Used without further specification, ""blood pressure"" usually refers to the pressure in large arteries of the systemic circulation.
Blood pressure is usually expressed in terms of the systolic pressure (maximum during one heartbeat) over diastolic pressure (minimum in between two heartbeats) and is measured in millimeters of mercury (mmHg), above the surrounding atmospheric pressure.
127/79 mmHg in men and 122/77 mmHg in women.Traditionally, blood pressure was measured non-invasively using auscultation with a mercury-tube sphygmomanometer.
Auscultation is still generally considered to be the gold standard of accuracy for non-invasive blood pressure readings in clinic.
In the short term, blood pressure is regulated by baroreceptors which act via the brain to influence the nervous and the endocrine systems.
Blood pressure that is too low is called hypotension, and pressure that is consistently high is hypertension.",https://en.wikipedia.org/wiki/Blood_pressure,"[('Classification, normal and abnormal values', 'Systemic arterial pressure'), ('Classification, normal and abnormal values', 'Systemic arterial pressure and age', 'Fetal blood pressure'), ('Classification, normal and abnormal values', 'Systemic arterial pressure and age', 'Childhood'), ('Classification, normal and abnormal values', 'Systemic arterial pressure and age', 'Aging adults'), ('Systemic venous pressure',), ('Pulmonary pressure',), ('Mean systemic pressure',), ('Disorders of blood pressure', 'High blood pressure'), ('Disorders of blood pressure', 'Low blood pressure', 'Orthostatic hypotension'), ('Disorders of blood pressure', 'Fluctuating blood pressure'), ('Physiology', 'Hemodynamics'), ('Physiology', 'Mean arterial pressure'), ('Physiology', 'Pulse pressure'), ('Physiology', 'Regulation of blood pressure'), ('Measurement',), ('Blood pressure in other animals', 'Hypertension in cats and dogs'), ('References',), ('Further reading',), ('External links',)]"
talus,768,Talus bone,"It transmits the entire weight of the body from the lower legs to the foot.The talus has joints with the two bones of the lower leg, the tibia and thinner fibula.
These leg bones have two prominences (the lateral and medial malleoli) that articulate with the talus.
At the foot end, within the tarsus, the talus articulates with the calcaneus (heel bone) below, and with the curved navicular bone in front; together, these foot articulations form the ball-and-socket-shaped talocalcaneonavicular joint.
The talus is the second largest of the tarsal bones; it is also one of the bones in the human body with the highest percentage of its surface area covered by articular cartilage.
It is also unusual in that it has a retrograde blood supply, i.e. arterial blood enters the bone at the distal end.In humans, no muscles attach to the talus, unlike most bones, and its position therefore depends on the position of the neighbouring bones.",https://en.wikipedia.org/wiki/Talus_bone,"[('Structure', 'Head'), ('Structure', 'Neck'), ('Structure', 'Body'), ('Development',), ('Fracture',), ('Society and culture',), ('Other animals',), ('Additional images',), ('See also',), ('Notes',), ('References',), ('External links',)]"
tardive dyskinesia,662,Tardive dyskinesia,"Tardive dyskinesia (TD) is a disorder that results in involuntary, repetitive body movements.
In about 20% of people, decreased functioning results.Tardive dyskinesia occurs in some people as a result of long-term use of neuroleptic medications (antipsychotics, metoclopramide).
The condition typically develops only after months to years of use.
The diagnosis is based on the symptoms after ruling out other potential causes.Efforts to prevent the condition include either using the lowest possible dose or discontinuing use of neuroleptics.
Treatment includes stopping the neuroleptic medication if possible or switching to clozapine.
Other medications such as valbenazine, tetrabenazine, or botulinum toxin may be used to lessen the symptoms.
With treatment some see a resolution of symptoms while others do not.Rates in those on atypical antipsychotics are about 20%, while those on typical antipsychotics have rates of about 30%.
The term ""tardive dyskinesia"" first came into use in 1964.",https://en.wikipedia.org/wiki/Tardive_dyskinesia,"[('Signs and symptoms',), ('Causes', 'Risk factors'), ('Prevention',), ('Treatment',), ('Epidemiology',), ('References',)]"
tears body substance,303,Body substance isolation,"Body substance isolation is a practice of isolating all body substances (blood, urine, feces, tears, etc.) of individuals undergoing medical treatment, particularly emergency medical treatment of those who might be infected with illnesses such as HIV, or hepatitis so as to reduce as much as possible the chances of transmitting these illnesses.  BSI is similar in nature to universal precautions, but goes further in isolating workers from pathogens, including substances now known to carry HIV.",https://en.wikipedia.org/wiki/Body_substance_isolation,"[('Place of body substance isolation practice in history',), ('Footnotes',), ('See also',), ('Further reading',)]"
temporomandibular joint disorders,459,Temporomandibular joint dysfunction,"Temporomandibular joint dysfunction (TMD, TMJD) is an umbrella term covering pain and dysfunction of the muscles of mastication (the muscles that move the jaw) and the temporomandibular joints (the joints which connect the mandible to the skull).
In this article, the term temporomandibular disorder is taken to mean any disorder that affects the temporomandibular joint, and temporomandibular joint dysfunction (here also abbreviated to TMD) is taken to mean symptomatic (e.g. pain, limitation of movement, clicking) dysfunction of the temporomandibular joint.
TMD is a symptom complex rather than a single condition, and it is thought to be caused by multiple factors.
Most sources agree that no irreversible treatment should be carried out for TMD.About 20% to 30% of the adult population are affected to some degree.
Usually people affected by TMD are between 20 and 40 years of age, and it is more common in females than males.",https://en.wikipedia.org/wiki/Temporomandibular_joint_dysfunction,"[('Classification', 'Definitions and terminology'), ('Classification', 'By cause and symptoms'), ('Classification', 'By duration'), ('Signs and symptoms',), ('Causes', 'Disc displacement'), ('Causes', 'Degenerative joint disease'), ('Causes', 'Psychosocial factors'), ('Causes', 'Bruxism'), ('Causes', 'Trauma'), ('Causes', 'Occlusal factors'), ('Causes', 'Genetic factors'), ('Causes', 'Hormonal factors'), ('Causes', 'Possible associations'), ('Pathophysiology', 'Anatomy and physiology', 'Temporomandibular joints'), ('Pathophysiology', 'Anatomy and physiology', 'Muscles of mastication'), ('Pathophysiology', 'Mechanisms of main signs and symptoms', 'Joint noises'), ('Pathophysiology', 'Mechanisms of main signs and symptoms', 'Pain', 'Arthralgia'), ('Pathophysiology', 'Mechanisms of main signs and symptoms', 'Pain', 'Myofascial pain'), ('Pathophysiology', 'Mechanisms of main signs and symptoms', 'Pain', 'Referred TMD pain'), ('Pathophysiology', 'Mechanisms of main signs and symptoms', 'Limitation of mandibular movement'), ('Diagnosis', 'Diagnostic criteria'), ('Diagnosis', 'Diagnostic Imaging in TMD', 'Plain radiography'), ('Diagnosis', 'Diagnostic Imaging in TMD', 'Panoramic tomography'), ('Diagnosis', 'Diagnostic Imaging in TMD', 'Computerised tomography (CT)'), ('Diagnosis', 'Diagnostic Imaging in TMD', 'Magnetic resonance imaging (MRI)'), ('Diagnosis', 'Diagnostic Imaging in TMD', 'Ultrasound'), ('Management', 'Psychosocial and behavioral interventions'), ('Management', 'Devices'), ('Management', 'Medication'), ('Management', 'Physiotherapy, biofeedback and similar non-invasive measures'), ('Management', 'Occlusal adjustment'), ('Management', 'Surgery'), ('Management', 'Alternative medicine', 'Acupuncture'), ('Management', 'Alternative medicine', 'Chiropractic'), ('Prognosis',), ('Epidemiology',), ('History',), ('References',)]"
tendon structure,581,Tendon,"A tendon or sinew is a tough band of fibrous connective tissue that connects muscle to bone and is capable of withstanding tension.
Tendons are similar to ligaments; both are made of collagen. Ligaments join one bone to bone, while tendons connect muscle to bone for a proper functioning of the body.",https://en.wikipedia.org/wiki/Tendon,"[('Structure', 'Extracellular matrix', 'Ultrastructure and collagen synthesis'), ('Structure', 'Tenocytes'), ('Functions', 'Mechanics'), ('Functions', 'Healing', 'Effects of activity on healing'), ('Society and culture', 'Culinary uses'), ('Clinical significance', 'Injury'), ('Other animals',), ('See also',)]"
teniasis,720,Taeniasis,"Taeniasis is a parasitic disease due to infection with tapeworms belonging to the genus Taenia. The two most important human pathogens in the genus are Taenia solium (the pork tapeworm) and Taenia saginata (the beef tapeworm). The third species Taenia asiatica is found only in East Asia. Taeniasis is generally asymptomatic, but severe infection causes weight loss, dizziness, abdominal pain, diarrhea, headaches, nausea, constipation, chronic indigestion, and loss of appetite.
A type of taeniasis called cysticercosis is caused by accidental infection with the eggs of T. solium from contaminated food and water. It is known as the most pathogenic form caused by tapeworms. A specific form of cysticercosis called neurocysticercosis is said to be the most common infection of the central nervous system.",https://en.wikipedia.org/wiki/Taeniasis,"[('Signs and symptoms', 'Taenia solium', 'Cysticercosis'), ('Signs and symptoms', 'Taenia saginata'), ('Signs and symptoms', 'Taenia asiatica'), ('Transmission',), ('Diagnosis',), ('Prevention',), ('Treatment',), ('Epidemiology', 'Regions'), ('Epidemiology', 'Infection estimates'), ('See also',), ('References',)]"
tension headache,698,Tension headache,"Tension headache, also known as tension-type headache (TTH) or stress headache, is the most common type of primary headache. The pain can radiate from the lower back of the head, the neck, eyes or other muscle groups in the body typically affecting both sides of the head. Tension-type headaches account for nearly 90% of all headaches.
Pain medication, such as aspirin and ibuprofen, are effective for the treatment of tension headache. Tricyclic antidepressants appear to be useful for prevention. Evidence is poor for SSRIs, propranolol and muscle relaxants.As of 2016 tension headaches affect about 1.89 billion people and are more common in women than men (23% to 18% respectively).",https://en.wikipedia.org/wiki/Tension_headache,"[('Classification',), ('Signs and symptoms',), ('Cause', 'Risk Factors'), ('Mechanism', 'Overview of Pathophysiology of ETTH and CTTH'), ('Mechanism', 'Specific Physiological Changes involved in Central Sensitization and Development of CTTH'), ('Diagnosis', 'Differential Diagnosis:'), ('Diagnosis', 'Workup'), ('Prevention', 'Lifestyle'), ('Prevention', 'Medications'), ('Treatment', 'Medications', 'Treatment of ETTH'), ('Treatment', 'Medications', 'Treatment of CTTH'), ('Treatment', 'Manual therapy'), ('Epidemiology',), ('Prognosis',), ('References',), ('External links',)]"
term birth,260,Birth certificate,"A birth certificate is a vital record that documents the birth of a child. The term ""birth certificate"" can refer to either the original document certifying the circumstances of the birth or to a certified copy of or representation of the ensuing registration of that birth. Depending on the jurisdiction, a record of birth might or might not contain verification of the event by such as a midwife or doctor.",https://en.wikipedia.org/wiki/Birth_certificate,"[('History and contemporary times',), ('Australia',), ('Canada', 'Forms of certified copies issued'), ('Canada', 'Languages'), ('China',), ('Czech Republic',), ('England and Wales', 'Pre-1837 birth and baptism records'), ('England and Wales', 'Types of certified copies issued in England and Wales'), ('France',), ('Hong Kong',), ('India',), ('New Zealand',), ('Russia', 'Filling'), ('Russia', 'The procedure for obtaining'), ('Sweden',), ('United States', 'Types of certified copies issued', 'Acceptance of short forms'), ('United States', 'Types of certified copies issued', 'Other forms'), ('United States', 'Types of certified copies issued', 'Birth certificates in cases of adoptions'), ('See also',)]"
testis,737,Tennis,"Tennis is a racket sport that can be played individually against a single opponent (singles) or between two teams of two players each (doubles).
Each player uses a tennis racket that is strung with cord to strike a hollow rubber ball covered with felt over or around a net and into the opponent's court.
The object of the game is to maneuver the ball in such a way that the opponent is not able to play a valid return.
The modern game of tennis originated in Birmingham, England, in the late 19th century as lawn tennis.
It had close connections both to various field (lawn) games such as croquet and bowls as well as to the older racket sport today called real tennis.
A recent addition to professional tennis has been the adoption of electronic review technology coupled with a point-challenge system, which allows a player to contest the line call of a point, a system known as Hawk-Eye. Tennis is played by millions of recreational players and is also a popular worldwide spectator sport.",https://en.wikipedia.org/wiki/Tennis,"[('History', 'Predecessors'), ('History', 'Origins of the modern game'), ('Equipment', 'Rackets'), ('Equipment', 'Balls'), ('Equipment', 'Miscellaneous'), ('Manner of play', 'Court', 'Lines'), ('Manner of play', 'Play of a single point'), ('Manner of play', 'Scoring', 'Game, set, match', 'Game'), ('Manner of play', 'Scoring', 'Game, set, match', 'Set'), ('Manner of play', 'Scoring', 'Game, set, match', 'Match'), ('Manner of play', 'Scoring', 'Special point terms', 'Game point'), ('Manner of play', 'Scoring', 'Special point terms', 'Break point'), ('Manner of play', 'Rule variations'), ('Officials',), ('Junior tennis',), ('Match play', 'Continuity'), ('Match play', 'Ball changes'), ('Match play', 'On-court coaching'), ('Stance', 'Open stance'), ('Stance', 'Semi-open stance'), ('Stance', 'Closed stance'), ('Stance', 'Neutral stance'), ('Shots', 'Grip'), ('Shots', 'Serve'), ('Shots', 'Forehand'), ('Shots', 'Backhand'), ('Shots', 'Other shots'), ('Injuries',), ('Tournaments', 'Grand Slam tournaments'), ('Tournaments', ""Men's tournament structure"", 'Masters 1000'), ('Tournaments', ""Men's tournament structure"", '250 and 500 Series'), ('Tournaments', ""Men's tournament structure"", 'Challenger Tour and Futures tournaments'), ('Tournaments', ""Women's tournament structure"", 'Premier events'), ('Tournaments', ""Women's tournament structure"", 'International events'), ('Players', 'Professional players', 'Singles and doubles professional careers'), ('Players', 'Professional players', 'Olympics'), ('Players', 'Professional players', 'Prize money'), ('Players', 'Grand Slam tournament winners'), ('Players', 'Greatest male players'), ('Players', 'Greatest female players'), ('In popular culture',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
tetanus,756,Tetanus,"Tetanus, also known as lockjaw, is a bacterial infection characterized by muscle spasms.
Onset of symptoms is typically three to twenty-one days following infection.
About ten percent of cases prove fatal.Tetanus is caused by an infection with the bacterium Clostridium tetani, which is commonly found in soil, saliva, dust, and manure.
The disease does not spread between people.Tetanus can be prevented by immunization with the tetanus vaccine.
In those who have a significant wound and have had fewer than three doses of the vaccine, both vaccination and tetanus immune globulin are recommended.
In those who are infected, tetanus immune globulin or, if unavailable, intravenous immunoglobulin (IVIG) is used.
Muscle relaxants may be used to control spasms.
In 2015 there were about 209,000 infections and about 59,000 deaths globally.
The cause of the disease was determined in 1884 by Antonio Carle and Giorgio Rattone at the University of Turin, and a vaccine was developed in 1924.",https://en.wikipedia.org/wiki/Tetanus,"[('Signs and symptoms', 'Incubation period'), ('Signs and symptoms', 'Generalized tetanus'), ('Signs and symptoms', 'Neonatal tetanus'), ('Signs and symptoms', 'Local tetanus'), ('Signs and symptoms', 'Cephalic tetanus'), ('Cause',), ('Pathophysiology',), ('Diagnosis',), ('Prevention', 'Post-exposure prophylaxis'), ('Treatment', 'Mild tetanus'), ('Treatment', 'Severe tetanus'), ('Epidemiology',), ('History', 'Etymology'), ('See also',), ('References',), ('External links',)]"
thiamine deficiency,651,Thiamine deficiency,"Thiamine deficiency is a medical condition of low levels of thiamine (vitamin B1).
Wet beriberi affects the cardiovascular system resulting in a fast heart rate, shortness of breath, and leg swelling.
Dry beriberi affects the nervous system resulting in numbness of the hands and feet, confusion, trouble moving the legs, and pain.
Another type, acute beriberi, is found mostly in babies and presents with loss of appetite, vomiting, lactic acidosis, changes in heart rate, and enlargement of the heart.Risk factors include a diet of mostly white rice, as well as alcoholism, dialysis, chronic diarrhea, and taking high doses of diuretics.
Rarely it may be due to a genetic condition which results in difficulties absorbing thiamine found in food.
The disease may be prevented at the population level through the fortification of food.Thiamine deficiency is rare in the United States.",https://en.wikipedia.org/wiki/Thiamine_deficiency,"[('Signs and symptoms', 'Beriberi', 'Dry beriberi'), ('Signs and symptoms', 'Brain disease'), ('Signs and symptoms', 'Wet beriberi'), ('Signs and symptoms', 'Gastrointestinal beriberi'), ('Signs and symptoms', 'Infants'), ('Cause', 'Genetics'), ('Pathophysiology',), ('Diagnosis',), ('Treatment',), ('Epidemiology',), ('History', 'Etymology'), ('Other animals', 'Poultry'), ('Other animals', 'Ruminants'), ('Other animals', 'Snakes'), ('Other animals', 'Wild birds and fish'), ('References', 'Cited sources'), ('External links',)]"
thinking skills,270,Thinking Skills Assessment,"The Thinking Skills Assessment (also known as TSA) is a generic admissions test, which is used as part of the admissions process for entry to some undergraduate courses at the University of Cambridge, the University of Oxford and University College London. 

",https://en.wikipedia.org/wiki/Thinking_Skills_Assessment,"[('History',), ('Format',), ('Scoring',), ('Timing and results', 'University College London'), ('Timing and results', 'The University of Cambridge and The University of Oxford'), ('Usage',), ('See also',), ('References',), ('External links',)]"
"thinking, function",286,Myers–Briggs Type Indicator,"The Myers–Briggs Type Indicator (MBTI) is an introspective self-report questionnaire indicating differing psychological preferences in how people perceive the world and make decisions.Though the MBTI resembles some psychological theories, it is often classified as pseudoscience, especially as pertains to its supposed predictive abilities.
The MBTI is based on the conceptual theory proposed by Swiss psychiatrist Carl Jung, who had speculated that people experience the world using four principal psychological functions – sensation, intuition, feeling, and thinking – and that one of these four functions is dominant for a person most of the time.
The Center for Applications of Psychological Type states that the MBTI is scientifically supported, but most of the research on it is done through its own journal, the Journal of Psychological Type, raising questions of bias.The MBTI was constructed for normal populations and emphasizes the value of naturally occurring differences.",https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator,"[('History', 'Differences from Jung', 'Structured vs. projective personality assessment'), ('History', 'Differences from Jung', 'Judging vs. perception', 'Orientation of the tertiary function'), ('Concepts', 'Type'), ('Concepts', 'Thumbnail sketches'), ('Concepts', 'Statistics'), ('Concepts', 'Four dichotomies'), ('Concepts', 'Attitudes: extraversion/introversion'), ('Concepts', 'Functions: sensing/intuition and thinking/feeling', 'Dominant function'), ('Concepts', 'Lifestyle preferences: judging/perception'), ('Format and administration', 'Additional formats'), ('Precepts and ethics',), ('Type dynamics and development',), ('Cognitive learning styles', 'Extraversion/Introversion'), ('Cognitive learning styles', 'Sensing/Intuition'), ('Cognitive learning styles', 'Thinking/Feeling'), ('Cognitive learning styles', 'Judging/Perceiving'), ('MBTI Step II', 'Concepts'), ('MBTI Step II', 'Applications'), ('Correlations with other instruments', 'Keirsey temperaments'), ('Correlations with other instruments', 'Big Five'), ('Correlations with other instruments', 'Personality disorders'), ('Criticism', 'No evidence for dichotomies'), ('Criticism', 'No evidence for ""dynamic"" type stack'), ('Criticism', 'Validity and utility'), ('Criticism', 'Lack of objectivity'), ('Criticism', 'Terminology'), ('Criticism', 'Factor analysis'), ('Criticism', 'Correlates'), ('Criticism', 'Reliability'), ('Utility',), ('See also',), ('Notes',)]"
thrombocytopenia,140,Thrombocytopenia,"Thrombocytopenia is a condition characterized by abnormally low levels of thrombocytes, also known as platelets, in the blood.A normal human platelet count ranges from 150,000 to 450,000 platelets per microliter of blood. These limits are determined by the 2.5th lower and upper percentile, so values outside this range do not necessarily indicate disease. One common definition of thrombocytopenia requiring emergency treatment is a platelet count below 50,000 per microliter.",https://en.wikipedia.org/wiki/Thrombocytopenia,"[('Signs and symptoms',), ('Causes', 'Decreased production'), ('Causes', 'Increased destruction'), ('Causes', 'Medication-induced'), ('Causes', 'Other causes'), ('Diagnosis',), ('Treatment', 'Thrombotic thrombocytopenic purpura'), ('Treatment', 'Idiopathic thrombocytopenic purpura'), ('Treatment', 'Heparin-induced thrombocytopenia'), ('Treatment', 'Congenital amegakaryocytic thrombocytopenia'), ('Treatment', 'Human Induced Pluripotent Stem Cell Derived Platelets'), ('Neonatal thrombocytopenia',), ('References',)]"
thyroid gland,455,Thyroid,"The thyroid gland secretes three hormones, namely the two thyroid hormones thyroxine/T4 and triiodothyronine/T3; and calcitonin.
TSH is regulated by thyrotropin-releasing hormone (TRH), which is produced by the hypothalamus.The thyroid gland develops in the floor of the pharynx at the base of the tongue at 3-4 weeks gestation; it then descends in front of the pharyngeal gut, and ultimately over the next few weeks, it migrates to the base of the neck.
During migration, the thyroid remains connected to the tongue by a narrow canal, the thyroglossal duct.
Hyperthyroidism is characterized by excessive secretion of thyroid hormones: the most common cause is the autoimmune disorder Graves' disease.
Hypothyroidism is characterized by a deficient secretion of thyroid hormones: the most common cause is iodine deficiency.
In iodine-sufficient regions, the most common cause of hypothyroidism is the autoimmune disorder Hashimoto's thyroiditis.",https://en.wikipedia.org/wiki/Thyroid,"[('Structure', 'Blood, lymph and nerve supply'), ('Structure', 'Variation'), ('Structure', 'Microanatomy'), ('Development',), ('Function', 'Thyroid hormones'), ('Function', 'Hormone production'), ('Function', 'Regulation'), ('Function', 'Calcitonin'), ('Gene and protein expression',), ('Clinical significance', 'Symptoms', 'Hyperthyroidism'), ('Clinical significance', 'Symptoms', 'Hypothyroidism'), ('Clinical significance', 'Symptoms', 'Nodules'), ('Clinical significance', 'Symptoms', 'Enlargement'), ('Clinical significance', 'Disease', 'Inflammation'), ('Clinical significance', 'Disease', 'Cancer'), ('Clinical significance', 'Disease', 'Congenital'), ('Clinical significance', 'Disease', 'Iodine'), ('Clinical significance', 'Disease', ""Graves' disease""), ('Clinical significance', 'Examination'), ('Clinical significance', 'Tests'), ('History',), ('Other animals', 'Location'), ('Other animals', 'Function'), ('See also',), ('References', 'Books'), ('External links',)]"
tic disorder,284,Tic disorder,"Tic disorders are defined in the Diagnostic and Statistical Manual of Mental Disorders (DSM) based on type (motor or phonic) and duration of tics (sudden, rapid, nonrhythmic movements).   Tic disorders are defined similarly by the World Health Organization (ICD-10 codes).",https://en.wikipedia.org/wiki/Tic_disorder,"[('Classification', 'ICD-10'), ('Classification', 'DSM-IV-TR'), ('Classification', 'From DSM-IV-TR to DSM-5'), ('Classification', 'DSM-5'), ('Diagnosis',), ('Treatment',), ('Epidemiology',), ('References',), ('External links',)]"
